year,fips,GIS Join Match Code,NHGIS Integrated State Name,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Total,Persons: Urban,Persons: Urban--Inside urbanized areas,Persons: Urban--Outside urbanized areas (in urban clusters),Persons: Rural,Persons: Male,Persons: Female,Persons: Under 5 years,Persons: 5 to 9 years,Persons: 10 to 14 years,Persons: 15 to 17 years,Persons: 18 and 19 years,Persons: 20 years,Persons: 21 years,Persons: 22 to 24 years,Persons: 25 to 29 years,Persons: 30 to 34 years,Persons: 35 to 44 years,Persons: 45 to 54 years,Persons: 55 to 59 years,Persons: 60 and 61 years,Persons: 62 to 64 years,Persons: 65 to 74 years,Persons: 75 to 84 years,Persons: 85 years and over,Persons: 18-24,Persons: 25-34,Persons: 35-44,Persons: 45-54,Persons: 55-64,Persons: 65+,Persons: White (single race),Persons: Black or African American (single race),Persons: American Indian and Alaska Native (single race),Persons: Asian and Pacific Islander and Other Race (single race),Persons: Two or More Races,Persons: Asian and Pacific Islander and Other and Two or More Races,Total Race,Persons: 25 years and over ~ Less than 9th grade,Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),"Families: Income less than $10,000","Families: Income $10,000 to $14,999","Families: Income $15,000 to $24,999","Families: Income $25,000 to $49,999","Families: Income $50,000 or more",approx avg income,estimated sd,dem_vote,gop_vote,lean_prev,lean_prev2,dem_vote_lean_prev2,gop_vote_lean_prev2,hlean_prev2,hlean_prev,us_state,dem_pct_two_party,lean,total_votes_two_party,total_votes,dem_poll,gop_poll,dem_lean2_plus_poll,gop_lean2_plus_poll
1948,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627470382,0.372529618,-0.01921,-0.02619,0.52619,0.47381,-0.068573328,-0.14454313,OK,0.6274703817494203,-0.1041839253306559,721599.0,721599.0,0.474,0.526,0.50019,0.49981000000000003
1948,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482385711,0.517614289,0.01319,0.00935,0.49065,0.50935,0.133403603,0.088986845,OR,0.4823857109697233,0.0409007454490411,504051.0,524080.0,0.474,0.526,0.46464999999999995,0.53535
1948,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479509378,0.520490622,0.02378,0.01538,0.48462,0.51538,0.01122136,0.019390492,PA,0.4795093775746499,0.0437770788441144,3654623.0,3735348.0,0.474,0.526,0.45861999999999997,0.54138
1948,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581579734,0.418420266,-0.04904,-0.01784,0.51784,0.48216,-0.079235237,-0.10677825,RI,0.581579733947979,-0.0582932775292146,324523.0,327702.0,0.474,0.526,0.49184,0.5081600000000001
1948,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864703961,0.135296039,-0.41384,-0.40633,0.9063300000000001,0.09366999999999998,-0.481057633,-0.550194329,SC,0.8647039614157602,-0.3414175049969958,39809.0,142571.0,0.474,0.526,0.8803300000000001,0.11967
1948,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475742406,0.524257594,0.12102,0.12409,0.37590999999999997,0.62409,0.169140302,0.083944695,SD,0.4757424061074628,0.0475440503113015,247304.0,250105.0,0.474,0.526,0.34990999999999994,0.6500900000000001
1948,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571292752,0.428707248,-0.06874,-0.12518,0.6251800000000001,0.37482,-0.145986529,-0.24254495,TN,0.5712927515655501,-0.0480062951467858,473316.0,550283.0,0.474,0.526,0.59918,0.40082
1948,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730897879,0.269102121,-0.2733,-0.26055,0.7605500000000001,0.23945,-0.422686796,-0.510558978,TX,0.730897879049607,-0.2076114226308426,1127702.0,1249577.0,0.474,0.526,0.73455,0.26545
1948,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545236207,0.454763793,-0.0675,-0.07352,0.57352,0.42647999999999997,-0.085472918,-0.044954263,UT,0.5452362065120835,-0.0219497500933191,273553.0,276306.0,0.474,0.526,0.54752,0.45248
1948,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375007203,0.624992797,0.10837,0.09943,0.40057,0.59943,0.142517614,0.08398167,VT,0.3750072026538692,0.1482792537648951,121483.0,123381.0,0.474,0.526,0.37456999999999996,0.62543
