,statename,year,mood,democrat,republican,liberal,conservative,mood_d2
1660,New Jersey,1966.0,61.447,40.22648964052664,24.178623452920668,,,54.393
1661,New Jersey,1967.0,58.822,33.15521279662696,29.354457098008275,,,50.999
1662,New Jersey,1968.0,59.159,40.30157948966874,27.840257679466312,,,47.439
1663,New Jersey,1969.0,55.935,40.81273489387185,23.878075664951588,,,42.682
1664,New Jersey,1970.0,55.16,37.65147995362901,31.38401422914219,,,41.808
1665,New Jersey,1971.0,58.464,38.2384115273917,27.284535886447365,,,41.591
1666,New Jersey,1972.0,53.966,37.067726155649076,28.6317946362306,,,42.18
1667,New Jersey,1973.0,52.461,39.781259202718125,22.091354949895543,,,41.278
1668,New Jersey,1974.0,50.517,42.62175932977864,24.151042083428223,,,41.762
1669,New Jersey,1975.0,52.324,40.16642547837064,19.356208027954487,,,41.713
1670,New Jersey,1976.0,51.797,33.05376998807704,22.291797466993714,25.833308130799093,28.66347523085004,42.386
1671,New Jersey,1977.0,51.636,39.12684296907079,29.10608690746148,28.54819211553571,23.920646915183127,40.293
1672,New Jersey,1978.0,50.022,41.133510549664045,20.83879245325492,22.956963923002757,24.657099739233615,39.292
1673,New Jersey,1979.0,45.268,39.161945386540154,25.952075210038444,24.40547826798203,36.44506933610367,39.936
1674,New Jersey,1980.0,44.86,39.42535294448241,20.588561162627535,21.684985948226483,24.347442961875494,39.334
1675,New Jersey,1981.0,45.766,31.750648272561854,29.388210019123527,22.499429521468983,33.35076341018331,39.443
1676,New Jersey,1982.0,45.561,39.46385766508853,31.077812464831357,21.136669521129225,27.89570776704074,39.932
1677,New Jersey,1983.0,46.633,37.24186497604723,24.369209029713467,23.94553208889576,26.529291219403667,42.225
1678,New Jersey,1984.0,47.359,39.9707331418243,25.184539275277373,21.219537938891246,19.45212444580765,45.89
1679,New Jersey,1985.0,47.549,30.167056723870562,28.00927529880989,21.832903070399055,23.780545163232013,49.539
1680,New Jersey,1986.0,48.181,30.47237866381859,35.11097963790362,21.088676895676606,27.891157936850153,51.653
1681,New Jersey,1987.0,48.826,37.534884651854604,28.304581665164736,27.776888302618502,30.57569300200281,51.802
1682,New Jersey,1988.0,47.72,31.93603093047338,32.61579890127103,21.98216804222041,30.04374918374111,51.194
1683,New Jersey,1989.0,47.798,31.83789103910889,28.202118884847554,23.8470461515474,28.72212455191791,50.656
1684,New Jersey,1990.0,48.958,32.29681339866835,35.53185345978787,28.252141416775313,41.40344033186316,50.154
